Key/String ID,English,Context,Comments,العربيةُ,български език,简体中文,čeština,Dansk,Nederlands,Suomi,Français,Deutsch,Ελληνικά,Magyar,Italiano,日本語,한국어,Norsk,Polski,Português,Português do Brasil,Română,Русский,Español-España,Español-Latinoamérica,Svenska,ไทย,Türkçe,Українська,Tiếng Việt,中文 (繁體)
h-camera-movement-subject,Camera Movement,,,,,镜头移动,Pohyb kamery,,,,Déplacer la caméra,Kamerasteuerung,,,,,카메라 이동,,,,,,Управление камерой,Movimiento de cámara,,,,,,,
h-camera-movement-description,"Use the WASD keys or Middle Mouse Click to move the camera.
Right click or press Q and E to rotate the camera. You can hold Shift to make 45° incremental steps with Q and E.
Mouse wheel to zoom in and out.

There is an option for scrolling on the edges of the screens in the settings.",,,,,"使用 WASD 键移动镜头。
按下 Q 键和 E 键旋转镜头。按住 Shift 键可以 45° 的角度渐进旋转。
使用鼠标滚轮进行缩放。

在设置中可以找到开启屏幕边缘滚动的选项。",Používejte klávesy WASD nebo střední tlačítko myši k pohybu kamery.Pravé tlačítko myši nebo klávesy Q a E k otáčení kamery. Můžete podržet Shift pro 45° kroky s Q a E.Kolečko myši pro přiblížení a oddálení.V nastavení je možnost posouvání na okrajích obrazovky.,,,,"Utilisez les touches ZQSD pour déplacer la caméra.
Appuyez sur A et E pour faire pivoter la caméra. Maintenez la touche MAJ pour faire pivoter la caméra à 45°.
Utilisez la molette de la souris pour zoomer/dézoomer.

Vous trouverez une option pour faire défiler la caméra sur les bord de l'écran dans les paramètres.","Bewege die Kamera mit WASD.
Rotiere die Kamera mit Q und E.
Zoome hinein und heraus mit dem Mausrad.",,,,,"WASD를 눌러 카메라를 움직입니다.
Q 또는 E를 눌러 카메라를 회전합니다. Shift를 길게 누르면 45°씩 서서히 회전합니다.
마우스 휠을 움직여 화면을 확대하거나 축소합니다.

환경설정에서 화면 가장자리 스크롤 설정 여부를 선택할 수 있습니다.",,,,,,"Передвигайте камеру с помощью клавиш WASD.
Поворачивайте камеру с помощью клавиш Q и E. Удерживайте Shift, чтобы повернуть камеру сразу на 45°.
Приближайте или отдаляйте камеру колёсиком мыши.

В настройках вы найдёте опцию прокрутки по краям экрана.","Usa las teclas WASD para mover la cámara.
Pulsa Q y E para rotarla. Mantén Mayús para hacer giros de 45°.
Mueve la rueda del ratón para alejar o acercar la vista.

En los ajustes hay una opción para desplazarse al mover el cursor hacia los bordes de la pantalla.",,,,,,,
h-view-modes-subject,View Modes,,,,,视图模式,Zobrazovací režimy,,,,Modes de vue,Kamera Modi,,,,,화면 표시,,,,,,Режимы просмотра,Modos de vista,,,,,,,
h-view-modes-description,"You can toggle through different view modes by pressing F1-F4 to look inside your buildings.

Press F1: Normal View. Shows everything as it is.
Press F2: No Roof View. Hides all roof tiles.
Press F3: Level View. Removes all walls entirely. Use Tab and Ctrl to move up and down a level.
Press F4: Foundation View. Removes walls, but keeps them visible. Also use Tab and Ctrl to move up and down a level. 
",,,,,"按下 F1-F4 键切换视图模式，以便查看建筑内部。

按下 F1 键：默认视图。正常显示所有内容。
按下 F2 键：无仓顶视图。隐藏仓顶网格。
按下 F3 键：平层视图。移除所有墙体。使用 Tab 键和 Ctrl 键切换高度。
按下 F4 键：地基视图。移除墙体，但保留可见轮廓。使用 Tab键 和 Ctrl 键切换高度。
","Můžete přepínat mezi různými režimy zobrazení stisknutím kláves F1-F4 pro prohlídku interiérů budov.Stiskněte F1: Normální zobrazení. Zobrazuje vše tak, jak je.Stiskněte F2: Zobrazení bez střechy. Skryje všechny střešní tašky.Stiskněte F3: Zobrazení úrovní. Úplně odstraní všechny stěny. Pro pohyb nahoru a dolů po úrovních použijte Tab a Ctrl.Stiskněte F4: Zobrazení základů. Odstraní stěny, ale ponechá je viditelné. Pro pohyb nahoru a dolů po úrovních použijte Tab a Ctrl.",,,,"Vous pouvez basculer entre plusieurs modes de vue avec F1-F4 pour regarder à l'intérieur de vos bâtiments.

F1 : vue normale. Montre tout tel quel.
F2 : vue sans toit. Masque toutes les tuiles de toit.
F3 : vue d'étage. Supprime tous les murs. Utilisez Tab et Ctrl pour voir l'étage supérieur ou inférieur.
F4 : vue des fondations. Retire les murs, qui restent visibles. Utilisez Tab et Ctrl pour voir l'étage supérieur ou inférieur. 
","Du kannst verschiedene Kamera Modi nutzen, um in deine Gebäude zu schauen.
Normaler Modus (F1): Zeigt alle Strukturen.
Dachloser Modus (F2): Blendet alle Dächer aus.
Ebenen Modus (F3): 
Fundament Modus (F4): ",,,,,"F1-F4를 눌러 다양한 방식으로 시설 내부를 확인할 수 있습니다.

F1: 일반 표시 방식으로, 사물을 보이는 그대로 표시합니다.
F2: 지붕 제외 방식입니다. 모든 지붕 타일을 숨깁니다.
F3: 평탄화 방식입니다. 모든 벽을 숨깁니다. Tab 및 Ctrl을 눌러 고도를 올리거나 내릴 수 있습니다.
F4: 토대 기반 방식입니다. 벽을 숨기는 것은 동일하지만 Tab과 Ctrl로 기준 고도를 올리거나 내려 벽 여부를 확인할 수 있습니다.
",,,,,,"Чтобы переключаться между режимами просмотра и заглядывать внутрь построек, воспользуйтесь клавишами F1–F4.

F1: нормальный режим. Показывает всё как есть.
F2: режим без крыш. Скрывает плитки крыши.
F3: режим уровня. Полностью убирает стены. Используйте Tab и Ctrl для перемещения между этажами вверх и вниз.
F4: режим фундамента. Убирает стены, но оставляет контур построек. Используйте Tab и Ctrl для перемещения между этажами вверх и вниз.
","Puedes cambiar entre diferentes modos de vista pulsando F1-F4 para ver el interior de tus edificios.

F1: vista normal. Lo muestra todo tal y como es.
F2: vista sin techo. Oculta todas las tejas.
F3: vista de nivel. Elimina todas las paredes. Usa el tabulador y la tecla Control para subir y bajar el nivel.
F4: vista de cimientos. Elimina las paredes, pero las deja visibles. Usa el tabulador y la tecla Control para subir y bajar el nivel. 
",,,,,,,
h-crafting-and-building-subject,Crafting and Building,,,,,制作和建造,Tvorba a stavba,,,,Fabrication et construction,Crafting and Building,,,,,제작 및 건설,,,,,,Проектировка и строительство,Fabricar y construir,,,,,,,
h-crafting-and-building-description,"To build machines, first craft them using a Workbench or an Assembler, then put it down as a blueprint. A worker will place them. Machines can be crafted by adding them to the production queue of a Workbench or by selecting their recipe in an Assembler.",,,,,如果想要建造机器，首先需要使用工作台或组装机制造机器，然后将其放置为蓝图，一名工人会自动前去进行安装。将机器添加到工作台的生产队列中，或者在组装机中选择相应的配方制造机器。,"Chcete-li postavit stroje, nejprve je vytvořte pomocí pracovního stolu nebo montážního stolu a poté je položte jako plán. Pracovník je pak umístní. Stroje lze vyrábět přidáním do produkční fronty pracovního stolu nebo výběrem jejich receptu v montážním stole.",,,,"Pour construire des machines, fabriquez-les sur un établi ou sur un assembleur pour en faire un plan. Ensuite, un employé les placera. Les machines peuvent être fabriquées en les ajoutant à la file de production d'un établi ou en sélectionnant leur recette sur un assembleur.","To build machines, first craft them using a Workbench or an Assembler, then assign a worker to place them. Machines can be crafted by adding them to the production queue of a Workbench or by selecting their recipe in an Assembler.",,,,,"먼저 작업대나 조립 장치에서 기계를 제작한 다음, 도면을 배치하면 작업자가 기계 장치를 설치합니다. 작업대 생산 대기열에 건설할 기계 장치를 추가하거나 조립 장치에서 해당하는 제조법을 선택해 제작할 수 있습니다.",,,,,,"Чтобы произвести устройство, его нужно сначала спроектировать, используя верстак или сборщик, а затем разместить в виде чертежа, после чего им займётся рабочий. Устройства можно проектировать, поставив в очередь производства на верстаке или выбрав рецепт в меню сборщика.","Para construir máquinas, primero fabrícalas en un puesto de trabajo o ensambladora, y después colócalas como plano. Un trabajador se encargará de ello. Para fabricar una máquina, añádela a la cola de producción de un puesto de trabajo o selecciona su receta en una ensambladora.",,,,,,,
h-energy-subject,Energy,,,,,,Energie,,,,,,,,,,,,,,,,,,,,,,,,
h-energy-description,"Currently, machines do not consume energy. However, future updates will introduce energy mechanics, including machines that require power to function, poles to distribute energy, and generators or reactors to produce it.",,,,,,"V současné době stroje nespotřebovávají energii. Budoucí aktualizace však zavedou mechaniku energie, včetně strojů, které k fungování potřebují energii, stožárů pro distribuci energie a generátorů nebo reaktorů pro její výrobu.",,,,,,,,,,,,,,,,,,,,,,,,
h-fuel-subject,Fuel,,,,,,Palivo,,,,,,,,,,,,,,,,,,,,,,,,
h-fuel-description,"Some machines—such as the Furnace and Lucrum Smelter—require fuel to operate, including resources like coal, coke, or solvents.

Prospectors will automatically deliver fuel to these machines when needed. For full automation, you can connect feeders from nearby stockpiles or conveyor belts to keep them continuously supplied without manual intervention.",,,,,,"Některé stroje – například pec a tavírna Lucrum – vyžadují k provozu palivo, včetně surovin jako uhlí, koks nebo rozpouštědla.Průzkumníci automaticky dodají těmto strojům palivo, jakmile bude potřeba. Pro plnou automatizaci můžete připojit podavače z blízkých zásobníků nebo dopravníků, abyste je nepřetržitě zásobovali bez ručního zásahu.",,,,,,,,,,,,,,,,,,,,,,,,
h-hauling-subject,Hauling,,,,,,Doprava,,,,,,,,,,,,,,,,,,,,,,,,
h-hauling-description,"To haul items from one location to another, right-click on a machine, stockpile, or items on the ground. A context menu will appear, allowing you to select the desired amount. Next, left-click on the destination machine or stockpile to create a hauling order. Your pawns will complete this task as soon as they're available. You can adjust the hauling priority in the Priorities window.",,,,,,"Chcete-li přepravit předměty z jednoho místa na druhé, klikněte pravým tlačítkem myši na stroj, sklad nebo předměty na zemi. Objeví se kontextové menu, ve kterém můžete vybrat požadované množství. Poté klikněte levým tlačítkem myši na cílový stroj nebo sklad, abyste vytvořili příkaz k přepravě. Vaši osadníci tuto úlohu dokončí, jakmile budou k dispozici. Prioritu přepravy můžete upravit v okně Priorit.",,,,,,,,,,,,,,,,,,,,,,,,
h-priorities-subject,Priorites,,,,,,Priority,,,,,,,,,,,,,,,,,,,,,,,,
h-priorities-description,"You can adjust your prospectors' task priorities in the Priorities window by clicking on the boxes. The fuller the box, the higher the priority. A green outline indicates that the prospector is talented in that specific task and will learn it faster. The brighter (whiter) a box's background, the more experienced the prospector is in that area. If multiple tasks have equal priority, tasks further to the left will take precedence.",,,,,,"Můžete upravit priority úkolů svých prospektorů v okně Priority kliknutím na políčka. Čím plnější políčko, tím vyšší priorita. Zelený obrys označuje, že prospektor má talent na daný úkol a bude se ho učit rychleji. Čím světlejší (bílejší) pozadí políčka, tím zkušenější je prospektor v dané oblasti. Pokud má více úkolů stejnou prioritu, budou mít přednost úkoly dále vlevo.",,,,,,,,,,,,,,,,,,,,,,,,
h-modding-subject,Modding,,,,,,Modding,,,,,,,,,,,,,,,,,,,,,,,,
h-modding-description,"You can freely mod Dawn Apart to your liking. All assets and events are editable through XML and VOX files located in:

Dawn Apart_Data\StreamingAssets\Data

We kindly ask that you distribute only your modifications, not the entire game. Enjoy creating your mods — and be sure to share them with us on our Discord server!",,,,,,"Můžete si Dawn Apart libovolně upravovat dle libosti. Všechny soubory a události jsou editovatelné přes XML a VOX soubory umístěné v:Dawn Apart_Data\StreamingAssets\DataLaskavě žádáme, abyste distribuovali pouze své modifikace, nikoli celou hru. Bavte se tvorbou svých modů – a nezapomeňte se o ně podělit s námi na našem Discord serveru!",,,,,,,,,,,,,,,,,,,,,,,,
h-schedules-subject,Schedules,,,,,,Rozvrhy,,,,,,,,,,,,,,,,,,,,,,,,
h-schedules-description,"You can manage a prospector's daily schedule in the Schedule window, assigning specific time slots for tasks such as Work, Sleep, Recreation, or leaving them free to do Anything. This allows you to create structured shifts, optimizing your factory's workflow.

Currently, the scheduling system isn't fully balanced—prospectors might continue working even when they're supposed to be on break. Rest assured, we're aware of this issue, and it will be addressed in future updates.",,,,,,"V okně Plán můžete spravovat denní rozvrh prospektora a přiřazovat konkrétní časové úseky pro úkoly, jako je Práce, Spánek, Rekreace, nebo je nechat volné pro Cokoliv. To vám umožní vytvořit strukturované směny a optimalizovat pracovní postup vaší továrny.V současné době není systém plánování plně vyvážený – prospektoři mohou pokračovat v práci i když by měli mít přestávku. Ujišťujeme vás, že si tohoto problému jsme vědomi a bude vyřešen v budoucích aktualizacích.",,,,,,,,,,,,,,,,,,,,,,,,
h-events-subject,Events,,,,,,Události,,,,,,,,,,,,,,,,,,,,,,,,
h-events-description,"You can find all communications, quests, and tutorial steps in the Events window. A small circle in front of an event’s title indicates whether it has been read — filled means unread, empty means read.",,,,,,"V okně Události najdete veškerou komunikaci, úkoly a kroky tutoriálu. Malá kolečka před názvem události označují, zda byla přečtena – vyplněná znamená nepřečteno, prázdná znamená přečteno.",,,,,,,,,,,,,,,,,,,,,,,,
h-auto-feeding-subject,Auto Feeding,,,,,,Automatické krmení,,,,,,,,,,,,,,,,,,,,,,,,
h-auto-feeding-description,"Machines are automatically supplied by prospectors when they run low on fuel or ingredients. Prospectors aim to make their trips efficient by delivering more than the bare minimum needed for a recipe.

If you want to disable this behavior, you can toggle the Auto-Feeding option in the machine's detail view (look for the icon with the little person). When turned off, prospectors will no longer restock or refuel that machine automatically.

This setting is automatically disabled if the machine is connected to a feeder or built directly on the output of another machine.",,,,,,"Stroje jsou automaticky zásobovány prospektory, když jim dochází palivo nebo suroviny. Prospektoři se snaží, aby jejich cesty byly efektivní, a dodávají více, než je pro recept nezbytně nutné.Pokud chcete toto chování deaktivovat, můžete přepnout možnost Automatické doplňování v detailním zobrazení stroje (hledejte ikonu s malou postavičkou). Když je vypnutá, prospektoři již nebudou daný stroj automaticky doplňovat palivem ani surovinami.Toto nastavení se automaticky vypne, pokud je stroj připojen k podavači nebo postaven přímo na výstupu jiného stroje.",,,,,,,,,,,,,,,,,,,,,,,,
h-outlets-subject,Outlets,,,,,,Vývody,,,,,,,,,,,,,,,,,,,,,,,,
h-outlets-description,"Most machines have an outlet where produced items are ejected—this is shown as a white moving box when placing the machine’s blueprint. Make sure the outlet remains unobstructed so prospectors can access the items.

You can extend these outlets by connecting other machines to create production chains for more advanced products. Alternatively, you can attach a conveyor belt or stockpile to manage and organize output more efficiently.",,,,,,"Většina strojů má výstup, kterým se vyráběné předměty vyhazují – při umístění plánu stroje je zobrazen jako bílá pohybující se schránka. Ujistěte se, že výstup zůstane volný, aby se k předmětům mohli dostat prospektoři.Tyto výstupy můžete prodloužit připojením dalších strojů a vytvořit tak výrobní řetězce pro pokročilejší produkty. Případně můžete připojit dopravní pás nebo sklad, abyste efektivněji spravovali a organizovali výstup.",,,,,,,,,,,,,,,,,,,,,,,,
h-feeders-subject,Feeders,,,,,,Krmítka,,,,,,,,,,,,,,,,,,,,,,,,
h-feeders-description,"Feeders are used to automatically transfer items between machines, stockpiles, or conveyor belts. Simply place a feeder so it overlaps both the source and the destination.

Feeders will only move items required for a machine’s recipe. However, when connected to a stockpile or conveyor belt, they’ll move any available items.

There are also specialized feeders:

- Long Feeders have an extended range, allowing for more flexible placement.

- Programmable Feeders let you specify exactly which items to transfer. To set this up, use the dropdown menu in the feeder’s detail view to select the desired items.

Feeders will use both lanes to draw items from, but they will take from one lane preferrably.
",,,,,,"Podavače se používají k automatickému přenosu položek mezi stroji, zásobníky nebo dopravníky. Podavač jednoduše umístěte tak, aby překrýval jak zdroj, tak cíl.Podavače budou přesouvat pouze položky potřebné pro recept stroje. Při připojení k zásobníku nebo dopravníku však budou přesouvat všechny dostupné položky.Existují také specializované podavače:- Dlouhé podavače mají rozšířený dosah, což umožňuje flexibilnější umístění.- Programovatelné podavače vám umožňují přesně určit, které položky se mají přenášet. Chcete-li to nastavit, použijte rozbalovací nabídku v detailním zobrazení podavače a vyberte požadované položky.Podavače budou používat oba pruhy k odebírání položek, ale budou preferenčně odebírat z jednoho pruhu.",,,,,,,,,,,,,,,,,,,,,,,,
h-conveyor-belts-subject,Conveyor Belts,,,,,,Pásové dopravníky,,,,,,,,,,,,,,,,,,,,,,,,
h-conveyor-belts-description,"Conveyor belts transport items automatically, eliminating the need for prospectors to haul them. Each belt has two lanes, allowing for more advanced setups—whether you're optimizing throughput or managing complex recipes.

Machines can output items directly onto conveyor belts without requiring a feeder. On the other hand, feeders can be used to move items onto or off conveyor belts when needed. When placing a blueprint, keep an eye on the small white box—it shows which lane the items will land on.

In order to take items off a conveyor belt, you have to use feeders (see Feeders for more information)

Spaceports and splitters have dedicated inlets that can be directly connected to conveyor belts, enabling smooth integration into your logistics network. (See Outlets for more information)",,,,,,"Pásové dopravníky automaticky přepravují předměty, čímž se eliminuje potřeba, aby je prospektoři tahali. Každý pás má dva pruhy, což umožňuje pokročilejší nastavení – ať už optimalizujete propustnost nebo spravujete složité recepty.Stroje mohou předměty vypouštět přímo na pásové dopravníky bez potřeby podavače. Na druhou stranu, podavače lze použít k přesunu předmětů na pásové dopravníky nebo z nich, když je to potřeba. Při umísťování schématu sledujte malé bílé políčko – ukazuje, na který pruh předměty dopadnou.Aby bylo možné sundat předměty z pásového dopravníku, je nutné použít podavače (viz Podavače pro více informací).Kosmodromy a rozdělovače mají vyhrazené vstupy, které lze přímo připojit k pásovým dopravníkům, což umožňuje hladkou integraci do vaší logistické sítě. (Viz Výstupy pro více informací)",,,,,,,,,,,,,,,,,,,,,,,,
h-splitters-subject,Splitters,,,,,,Děliče,,,,,,,,,,,,,,,,,,,,,,,,
h-splitters-description,"Splitters pull items from both lanes of a conveyor belt through their inlet and evenly divide them—50/50—between two connected belts via their outlets. This allows you to efficiently distribute resources across your factory.

Tip: By chaining multiple splitters, you can fine-tune the flow and direct specific portions of your production where they’re needed most. It’s a powerful tool for balancing complex logistics.",,,,,,"Děliče odebírají předměty z obou pásů dopravníkového pásu přes svůj vstup a rovnoměrně je rozdělují –50:50  – mezi dva připojené pásy přes své výstupy. To umožňuje efektivní rozdělení zdrojů ve vaší továrně.Tip: Zřetězením více děličů můžete jemně doladit tok a směrovat specifické části vaší výroby tam, kde jsou nejvíce potřeba. Je to výkonný nástroj pro vyvažování komplexní logistiky.",,,,,,,,,,,,,,,,,,,,,,,,
h-performance-subject,Performance,,,,,,Výkon,,,,,,,,,,,,,,,,,,,,,,,,
h-performance-description,"If you're noticing high GPU usage, try disabling shadows. This can significantly reduce energy consumption and improve performance.

If you're experiencing a low framerate, consider disabling shadows and using the fixed resolution scaling option.
Reducing the resolution (for example to 70%) can help boost performance without sacrificing much visual quality, especially on smaller screens.",,,,,,"Pokud zaznamenáváte vysoké využití GPU, zkuste vypnout stíny. To může výrazně snížit spotřebu energie a zlepšit výkon.Pokud máte nízkou snímkovou frekvenci, zvažte vypnutí stínů a použití možnosti pevného měřítka rozlišení.Snížení rozlišení (například na 70 %) může pomoci zvýšit výkon bez výrazné ztráty kvality obrazu, zejména na menších obrazovkách.",,,,,,,,,,,,,,,,,,,,,,,,
h-combat-subject,Combat,,,,,,Boj,,,,,,,,,,,,,,,,,,,,,,,,
h-combat-description,"To make your prospectors defend themselves, you have to enlist them by selecting them and press R.
    
 Sirius B-3 is a hostile and unpredictable world. The native It’aks eye your technology with envy and covet the sacred Lucrum 115 you extract and launch offworld. At dawn, they may strike, determined to reclaim what they believe is rightfully theirs. Not all It’aks are hostile — some are peaceful and pose no threat. How you choose to engage with them is entirely up to you.

Another faction you'll encounter are space pirates. While they may raid your settlement, they aren't just enemies — they have the potential to become valuable trade partners.

During an attack, you can sound the alarm (see more under Safe Zone) to have your prospectors drop what they're doing and run to safety, no matter where they are.

To defend your colony, you’ll need to enlist your prospectors by pressing R. Once enlisted, they’ll stop their current tasks and automatically seek out and engage nearby enemies—provided they’re armed.

In battle, prospectors can be killed or incapacitated—often due to the loss of a limb. Incapacitated individuals can be carried to a Regeneration Pod, where their limbs will be regrown. If they’re still able to walk, they may make it to a pod on their own.

However, repeated exposure to death and violence can leave a psychological toll. Prospectors who witness too many losses may become traumatized, causing them to flee and temporarily ignore your commands until they’ve recovered from the fear. Same goes for raiders. If they loose to many people they might abandon their attack.",,,,,,"Chcete-li, aby se vaši prospektoři bránili, musíte je zaregistrovat jejich výběrem a stisknutím R.Sirius B-3 je nepřátelský a nepředvídatelný svět. Domorodí It'akové závidí vaši technologii a dychtí po posvátném Lucrum 115, které těžíte a vypravujete mimo planetu. Na úsvitu mohou zaútočit a rozhodnout se získat zpět to, co považují za své právoplatné. Ne všichni It'akové jsou nepřátelští – někteří jsou mírumilovní a nepředstavují žádnou hrozbu. Jak se k nim rozhodnete přistupovat, je zcela na vás.Další frakcí, se kterou se setkáte, jsou vesmírní piráti. Ačkoli mohou přepadat vaši osadu, nejsou jen nepřáteli – mají potenciál stát se cennými obchodními partnery.Během útoku můžete spustit poplach (více informací v části Bezpečná zóna), aby vaši prospektoři přestali s tím, co dělají, a utíkali do bezpečí, bez ohledu na to, kde se nacházejí.K obraně vaší kolonie budete muset zaregistrovat své prospektory stisknutím R. Po registraci přestanou se svými aktuálními úkoly a automaticky vyhledají a zaútočí na blízké nepřátele – za předpokladu, že jsou ozbrojeni.V bitvě mohou být prospektoři zabiti nebo zraněni – často kvůli ztrátě končetiny. Zraněné osoby mohou být přeneseny do regenerační kapsle, kde jim dorostou končetiny. Pokud jsou stále schopni chodit, mohou se do kapsle dostat sami.Nicméně opakovaná expozice smrti a násilí může zanechat psychickou zátěž. Prospektoři, kteří jsou svědky příliš mnoha ztrát, se mohou traumatizovat, což způsobí, že utečou a dočasně ignorují vaše příkazy, dokud se z obav nezotaví. Totéž platí pro nájezdníky. Pokud ztratí příliš mnoho lidí, mohou útok opustit.",,,,,,,,,,,,,,,,,,,,,,,,
h-safe-zone-subject,Safe Zone,,,,,,Bezpečná zóna,,,,,,,,,,,,,,,,,,,,,,,,
h-safe-zone-description,"You can define safe zones using the Safe and Unsafe buttons. It's recommended to place your safe zone within a well-defended compound to protect your prospectors during attacks.

When you hit the red alarm button, a siren will sound, and all prospectors will immediately stop their current tasks and run to the designated safe zone. While inside the safe zone, they will continue working during an alarm — unless you enlist them for combat.",,,,,,"Bezpečná zóna se definuje pomocí tlačítek Bezpečné a Nebezpečné. Doporučuje se umístit vaši bezpečnou zónu do dobře chráněného komplexu, abyste ochránili své prospektory během útoků.Když stisknete červené tlačítko poplachu, spustí se siréna a všichni prospektoři okamžitě přeruší svou aktuální práci a utečou do určené bezpečné zóny.  Uvnitř bezpečné zóny budou během poplachu pokračovat v práci – pokud je nezahrnete do boje.",,,,,,,,,,,,,,,,,,,,,,,,
h-doors-subject,Doors,,,,,,Dveře,,,,,,,,,,,,,,,,,,,,,,,,
h-doors-description,"Doors serve a dual purpose: they keep enemies out and help retain warmth inside your structures. However, if a door closes while an enemy is trying to slip through, they might be able to pry it open.

So, keep an eye out for tailgaters—enemies who sneak in right behind your prospectors. Stay alert, and don’t let your guard down!",,,,,,"Dveře slouží dvojímu účelu: brání vstupu nepřátelům a pomáhají udržovat teplo uvnitř vašich struktur. Pokud se však dveře zavřou, zatímco se nepřítel snaží proklouznout, může je být schopen vyvrátit.Takže si dávejte pozor na vetřelce – nepřátele, kteří se vkradají hned za vašimi prospektory. Zůstaňte ve střehu a neopouštějte bdělost!",,,,,,,,,,,,,,,,,,,,,,,,
h-food-subject,Food,,,,,,Jídlo,,,,,,,,,,,,,,,,,,,,,,,,
h-food-description,A vending machine which dispenses food. At the moment nothing more than a regular necessity for your prospectors. In the future we plan on having a whole eco-system around providing food.,,,,,,Automat s jídlem. V současnosti jen běžná nutnost pro vaše prospektory. V budoucnu plánujeme vytvořit celý ekosystém zaměřený na poskytování potravin.,,,,,,,,,,,,,,,,,,,,,,,,
h-needs-subject,Needs,,,,,,Potřeby,,,,,,,,,,,,,,,,,,,,,,,,
h-needs-description,"Prospectors have to go to the toilet, wash themselves, eat something and get some sleep.
For that they need a toilet, a sink, a Mr. Soylent vending machine and a bed. All of them can be shared at the moment. Check out our roadmap for the ideas we have to expand these systems.",,,,,,"Hledači nerostů se musí jít na toaletu, umýt se, něco sníst a trochu se vyspat.  K tomu potřebují toaletu, umyvadlo, automat s Mr. Soylent a postel. Všechny tyto věci jsou momentálně sdílené. Podívejte se na náš plán pro nápady, jak tyto systémy rozšířit.",,,,,,,,,,,,,,,,,,,,,,,,
h-orders-subject,Orders,,,,,,Objednávky,,,,,,,,,,,,,,,,,,,,,,,,
h-orders-description,"Your prospectors are the backbone of your factory — your indispensable workforce. You can assign them to carry out essential tasks such as:
- Cutting trees
- Hauling items
- Mining ores
- Leveling terrain
- Deconstructing buildings

To manage these tasks more effectively, you also have tools like:
- Allow/Deny Items – Control which items can be interacted with or moved.
- Clear Orders – Cancel existing tasks to quickly adapt to changing priorities.  

You can find the orders menu on the bottom of your screen, visible at all times. 
    ",,,,,,"Vaši prospektoři jsou páteří vaší továrny – vaši nezbytná pracovní síla. Můžete jim přidělit důležité úkoly, jako například:- Těžba dřeva- Přeprava předmětů- Těžba rud- Terénní úpravy- Demoliční prácePro efektivnější správu těchto úkolů máte k dispozici také nástroje, jako například:- Povolit nebo zakázat předměty – Ovládejte, s jakými předměty lze interagovat nebo je přesouvat.- Zrušit rozkazy – Zrušte existující úkoly, abyste se rychle přizpůsobili měnícím se prioritám.Menu rozkazů najdete ve spodní části obrazovky, je viditelné neustále.",,,,,,,,,,,,,,,,,,,,,,,,
h-spaceports-trades-subject,Spaceports and Trades,,,,,,Kosmodromy a obchod,,,,,,,,,,,,,,,,,,,,,,,,
h-spaceports-trades-description,"To trade products, you’ll need a spaceport. Each spaceport has a landing zone, and the size of that zone determines what class of ships can land there.

When a trade opportunity becomes available, it will appear in the Events window. Open the event, scroll down, and click Accept to confirm the trade. In some cases, you may also be able to choose which spaceport the trader should land on.

Once accepted, the trader will be on route and lands on the space port after some time. During this time, make sure all required materials are available at the selected spaceport. You can deliver items by having prospectors haul them manually or by connecting a conveyor belt to the port’s inlet (see Outlets in the Help menu for details).

Once the trade conditions are met, the trader will drop off payment at the spaceport and immediately vacate the landing zone.",,,,,,"K obchodování s produkty budete potřebovat kosmodrom. Každý kosmodrom má přistávací plochu a její velikost určuje, jaké třídy lodí tam mohou přistát.Když se objeví obchodní příležitost, zobrazí se v okně Události. Otevřete událost, přejděte dolů a kliknutím na Přijmout obchod potvrďte. V některých případech budete také moci vybrat, na který kosmodrom by se obchodník měl dostat.Po přijetí bude obchodník na cestě a po nějaké době přistane na kosmodromu. Během této doby se ujistěte, že všechny potřebné materiály jsou k dispozici na vybraném kosmodromu. Položky můžete doručit tak, že je necháte ručně dopravit prospektory, nebo připojením pásového dopravníku k přívodu přístavu (podrobnosti viz Výstupy v nabídce Nápověda).Jakmile budou splněny obchodní podmínky, obchodník složí platbu na kosmodromu a okamžitě uvolní přistávací plochu.",,,,,,,,,,,,,,,,,,,,,,,,
h-mining-subject,Mining,,,,,,Těžba,,,,,,,,,,,,,,,,,,,,,,,,
h-mining-description,"You can extract ore deposits using either your prospectors or specialized machines like the Small Miner.

However, some resources—such as Lucrum 115—require advanced mining equipment. For example, the Lucrum 115 Miner is specifically designed for this task and needs Solvents to function properly.",,,,,,"Rúdu můžete těžit buď pomocí prospektorů, nebo specializovaných strojů, jako je Malý těžař.Některé suroviny – například Lucrum 115 – však vyžadují pokročilé těžební vybavení.  Lucrum 115 Těžař je například speciálně navržen pro tuto úlohu a pro správnou funkci potřebuje Rozpouštědla.",,,,,,,,,,,,,,,,,,,,,,,,
bubble-converter-recipe,No Recipe,,,,,没有配方,Žádný recept,,,,Aucune recette,,,,,,제조법 없음,,,,,,Нет рецепта,Sin receta,,,,,,,
bubble-converter-fuel,Missing Fuel,,,,,缺少燃料,Chybějící palivo,,,,Combustible manquant,,,,,,연료 부족,,,,,,Не хватает топлива,Falta combustible,,,,,,,
bubble-converter-ingredients,Missing Ingredients,,,,,缺少原料,Chybějící ingredience,,,,Ingrédients manquants,,,,,,재료 부족,,,,,,Не хватает компонентов,Faltan componentes,,,,,,,
